Seniūnija                               ,Gatvė                                ,Namo Nr.,Buto Nr.                               ,Bendrasis (naudingasis) būsto plotas kv. m ,Socialinis būstas,Unikalus Nr.
Naujininkų seniūnija                    ,Naujininkų skg.                                                                                                                                       ,4,5,43.82,Savivaldybės būstas,1093-2003-7027:0003                     
Naujininkų seniūnija                    ,Naujininkų skg.                                                                                                                                       ,4,6,41.14,Savivaldybės būstas,1093-2003-7027:0004                     
Naujininkų seniūnija                    ,Naujininkų skg.                                                                                                                                       ,4,7,41.75,Savivaldybės būstas,1093-2003-7027:0005                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,28,9,38.49,Savivaldybės būstas,1094-0063-9021:0007                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,29,515,18.48,Savivaldybės būstas,1097-7007-8014:0075                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,30,5,31.83,Savivaldybės būstas,1094-0269-9010:0010                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,40,42,24.13,Savivaldybės būstas,1098-4006-2013:0108                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,40,102,24.22,Savivaldybės būstas,1098-4006-2013:0107                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,31A     ,6,26.45,Savivaldybės būstas,1098-0009-3014:0069                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,31A     ,50,26.55,Savivaldybės būstas,1098-0009-3014:0071                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,31A     ,56,30.53,Savivaldybės būstas,1098-0009-3014:0068                     
Naujininkų seniūnija                    ,Panevėžio g.                                                                                                                                          ,31A     ,71,30.67,Savivaldybės būstas,1098-0009-3014:0072                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,112,21.02,Savivaldybės būstas,1096-4011-2016:0011                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,207,12.24,Savivaldybės būstas,1096-4011-2016:0120                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,218,14.54,Savivaldybės būstas,1096-4011-2016:0121                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,221,19.72,Savivaldybės būstas,1096-4011-2016:0122                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,306,12.55,Savivaldybės būstas,1096-4011-2016:0123                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,315,15.29,Savivaldybės būstas,1096-4011-2016:0124                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,323,17.76,Savivaldybės būstas,1096-4011-2016:0125                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,409,12,Savivaldybės būstas,1096-4011-2016:0126                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,412,12.89,Savivaldybės būstas,1096-4011-2016:0127                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,420,20.03,Savivaldybės būstas,1096-4011-2016:0128                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,510,12.86,Savivaldybės būstas,1096-4011-2016:0118                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,517,23.32,Savivaldybės būstas,1096-4011-2016:0129                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,5,518,24.6,Savivaldybės būstas,1096-4011-2016:0130                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,9,22,54.33,Savivaldybės būstas,1096-3012-0017:0023                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,17,10,40.23,Savivaldybės būstas,1095-9014-1010:0038                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,17,18,55.01,Savivaldybės būstas,1095-9014-1010:0039                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,37,5,37.04,Savivaldybės būstas,1094-0278-5014:0034                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,37,7,37.17,Savivaldybės būstas,1094-0278-5014:0036                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,37,6A                                      ,35.93,Savivaldybės būstas,1094-0278-5014:0035                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,55,8,50.34,Savivaldybės būstas,1094-0278-6018:0027                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,55,10,21.04,Savivaldybės būstas,1094-0278-6018:0029                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,55,16,52.31,Savivaldybės būstas,1094-0278-6018:0035                     
Naujininkų seniūnija                    ,Pelesos g.                                                                                                                                            ,55,17,54.01,Savivaldybės būstas,1094-0278-6018:0036                     
Naujininkų seniūnija                    ,Pupinės g.                                                                                                                                            ,4,1,19.04,Savivaldybės būstas,4197-9017-1010:0015                     
Naujininkų seniūnija                    ,Pupinės g.                                                                                                                                            ,4,2,28.69,Savivaldybės būstas,4197-9017-1010:0013                     
Naujininkų seniūnija                    ,Pupinės g.                                                                                                                                            ,4,30,26.75,Savivaldybės būstas,4197-9017-1010:0033                     
Naujininkų seniūnija                    ,Pupinės g.                                                                                                                                            ,4,32,25.61,Savivaldybės būstas,4197-9017-1010:0035                     
Naujininkų seniūnija                    ,Rodūnios kel.                                                                                                                                         ,28,112,13.69,Savivaldybės būstas,1096-5028-6016:0011                     
Naujininkų seniūnija                    ,Rudaminos g.                                                                                                                                          ,4,9,40.12,Savivaldybės būstas,1094-0325-1027:0035                     
Naujininkų seniūnija                    ,Rudaminos g.                                                                                                                                          ,5,20,31.31,Savivaldybės būstas,1099-2028-6013:0020                     
Naujininkų seniūnija                    ,Salininkų g.                                                                                                                                          ,133,51,46.28,Savivaldybės būstas,1096-8013-5011:0055                     
Naujininkų seniūnija                    ,Sparno g.                                                                                                                                             ,3,1,30.29,Savivaldybės būstas,1094-0358-0016                          
Naujininkų seniūnija                    ,Sparno g.                                                                                                                                             ,13,                                        ,52.96,Savivaldybės būstas,1094-0358-2010/2                        
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,25,32.04,Savivaldybės būstas,1096-8019-4014:0126                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,204,25.01,Savivaldybės būstas,1096-8019-4014:0127                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,306,24.85,Savivaldybės būstas,1096-8019-4014:0138                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,401,24.03,Savivaldybės būstas,1096-8019-4014:0131                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,406,24.74,Savivaldybės būstas,1096-8019-4014:0132                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,413,24.7,Savivaldybės būstas,1096-8019-4014:0133                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,427,25.05,Savivaldybės būstas,1096-8019-4014:0134                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,506,25.03,Savivaldybės būstas,1096-8019-4014:0135                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,528,25.1,Savivaldybės būstas,1096-8019-4014:0137                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,8,323A                                    ,24.06,Savivaldybės būstas,1096-8019-4014:0130                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,10,53,25.65,Savivaldybės būstas,1096-9017-2016:0130                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,10,63,25.18,Savivaldybės būstas,1096-9017-2016:0080                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,10,81,25.82,Savivaldybės būstas,1096-9017-2016:0131                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,10,82,25.73,Savivaldybės būstas,1096-9017-2016:0132                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,10,122,17.19,Savivaldybės būstas,1096-9017-2016:0133                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,12,123,23.04,Savivaldybės būstas,4400-1492-2217:5231                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,18,7A                                      ,46.28,Savivaldybės būstas,1097-0023-5018:0099                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,20,29,20.31,Savivaldybės būstas,1097-2013-6018:0108                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,20,80,21.15,Savivaldybės būstas,1097-2013-6018:0111                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,22,35,49.7,Savivaldybės būstas,1097-0023-6015:0031                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,22,39,28.4,Savivaldybės būstas,1097-0023-6015:0081                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,22,42,28.5,Savivaldybės būstas,1097-0023-6015:0078                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,22,43,49.6,Savivaldybės būstas,1097-0023-6015:0077                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,24,13,22.55,Savivaldybės būstas,1096-9017-5012:0086                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,26,72,64.9,Savivaldybės būstas,1096-9017-6010:0081                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,38,3,45.01,Savivaldybės būstas,1096-6016-4016:0056                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,48,24,28.8,Savivaldybės būstas,1096-8019-5011:0098                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,48,72,49.82,Savivaldybės būstas,1096-8019-5011:0099                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,54,56,51,Savivaldybės būstas,1097-3012-8010:0083                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,58,27,28.3,Savivaldybės būstas,1097-2013-8012:0080                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,60,94,27.4,Savivaldybės būstas,1097-2013-9016:0110                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,60,105,26.8,Savivaldybės būstas,1097-2013-9016:0111                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,64,36,28.7,Savivaldybės būstas,1097-0023-8010:0081                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,66,62,20.8,Savivaldybės būstas,1097-2014-0018:0107                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,66,85,28.5,Savivaldybės būstas,1097-2014-0018:0091                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,66,86,20.8,Savivaldybės būstas,1097-2014-0018:0108                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,66,107,27.5,Savivaldybės būstas,1097-2014-0018:0110                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,68,18,28.6,Savivaldybės būstas,1097-1013-2013:0057                     
Naujininkų seniūnija                    ,Šaltkalvių g.                                                                                                                                         ,68,21,27.8,Savivaldybės būstas,1097-1013-2013:0056                     
Naujininkų seniūnija                    ,Telšių g.                                                                                                                                             ,15,2,46.23,Savivaldybės būstas,1094-0380-7012:0004                     
Naujininkų seniūnija                    ,Telšių g.                                                                                                                                             ,15,5,42.44,Savivaldybės būstas,1094-0380-7012:0006                     
Naujininkų seniūnija                    ,Tyzenhauzų g.                                                                                                                                         ,7,83,31.73,Savivaldybės būstas,1098-3013-3012:0111                     
Naujininkų seniūnija                    ,Tyzenhauzų g.                                                                                                                                         ,9,108,35.3,Savivaldybės būstas,4400-1224-2363:7805                     
Naujininkų seniūnija                    ,Tyzenhauzų g.                                                                                                                                         ,19B     ,23,22.93,Savivaldybės būstas,1095-8022-6015:0034                     
Naujininkų seniūnija                    ,Tyzenhauzų g.                                                                                                                                         ,19B     ,27,24.42,Savivaldybės būstas,1095-8022-6015:0035                     
Naujininkų seniūnija                    ,Tyzenhauzų g.                                                                                                                                         ,19B     ,35,25.72,Savivaldybės būstas,1095-8022-6015:0036                     
Naujininkų seniūnija                    ,Vaivorykštės g.                                                                                                                                       ,2,1,18.13,Savivaldybės būstas,4400-1473-3209:1954                     
Naujininkų seniūnija                    ,Vaivorykštės g.                                                                                                                                       ,2,3,54.43,Savivaldybės būstas,4400-1855-0232:5560                     
Naujininkų seniūnija                    ,Vaivorykštės g.                                                                                                                                       ,2,3 (1)                                   ,20.96,Savivaldybės būstas,4400-1855-0232:5560/1                   
Naujininkų seniūnija                    ,Vaivorykštės g.                                                                                                                                       ,6,6,23.66,Savivaldybės būstas,1094-0013-3028:0008                     
Naujininkų seniūnija                    ,Vyšnių g.                                                                                                                                             ,2,11,34.41,Savivaldybės būstas,1097-5015-9016:0040                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,3,18,54.19,Savivaldybės būstas,1096-2024-0011:0017                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,5,26,29.61,Savivaldybės būstas,1095-9014-2017:0039                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,9,39,70.88,Savivaldybės būstas,1096-5013-0011:0017                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,9,52,46.08,Savivaldybės būstas,1096-5013-0011:0010                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,10,100,27.86,Savivaldybės būstas,4400-1493-2013:5289                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,10,101,26.8,Savivaldybės būstas,4400-1495-0088:5516                     
Naujininkų seniūnija                    ,Zanavykų g.                                                                                                                                           ,10,204A                                    ,26.3,Savivaldybės būstas,4400-1495-1909:5520                     
Naujininkų seniūnija                    ,Žirnių g.                                                                                                                                             ,62,                                        ,26.53,Savivaldybės būstas,1094-0487-6017                          
Naujininkų seniūnija                    ,Žirnių g.                                                                                                                                             ,86,8,25.84,Savivaldybės būstas,1094-0488-0022:0029                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,45,7,25.47,Savivaldybės būstas,4400-1839-6840:4238                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,45,12,36.7,Savivaldybės būstas,1095-9003-9017:0007                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,45,                                        ,31,Negyvenamoji patalpa,1095-9003-9028                          
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,45,7a                                      ,36.73,Savivaldybės būstas,4400-1839-6851:4239                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,73,                                        ,37,Savivaldybės būstas,1094-0089-5012                          
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,87,7A                                      ,27.23,Savivaldybės būstas,1096-1008-1010:0012                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,95,2,27.69,Savivaldybės būstas,4400-0696-9133:9063                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,100,1,55.38,Savivaldybės būstas,4400-1493-0808:5278                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,120,3,56.04,Savivaldybės būstas,1094-0093-2016:0008                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,140,                                        ,78.34,Savivaldybės būstas,1097-7001-7017                          
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,260,3,50.92,Savivaldybės būstas,1096-0009-6010:0013                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,300,7,47.86,Savivaldybės būstas,1095-3001-6016:0007                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,300,8,42.55,Savivaldybės būstas,1095-3001-6016:0008                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,306,7,46.94,Savivaldybės būstas,1095-3001-8010:0007                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,316,4,40.89,Savivaldybės būstas,4400-1492-1585:5229                     
Naujosios Vilnios seniūnija             ,A. Kojelavičiaus g.                                                                                                                                   ,310A    ,3,48.89,Savivaldybės būstas,1098-6002-8016:0009                     
Naujosios Vilnios seniūnija             ,A. Paškevič-Ciotkos g.                                                                                                                                ,1,4,34.04,Savivaldybės būstas,1093-1001-9013:0004                     
Naujosios Vilnios seniūnija             ,A. Paškevič-Ciotkos g.                                                                                                                                ,1,5,21.76,Savivaldybės būstas,1093-1001-9013:0003                     
Naujosios Vilnios seniūnija             ,Arimų g.                                                                                                                                              ,13,2,32.58,Savivaldybės būstas,1094-0019-5011:0003                     
Naujosios Vilnios seniūnija             ,Baniškių g.                                                                                                                                           ,39,3,52.38,Savivaldybės būstas,4400-0105-4142:5294                     
Naujosios Vilnios seniūnija             ,Darželio g.                                                                                                                                           ,5,125,12.68,Savivaldybės būstas,1096-4004-1016:0191                     
Naujosios Vilnios seniūnija             ,Darželio g.                                                                                                                                           ,5,137,12.69,Savivaldybės būstas,1096-4004-1016:0181                     
Naujosios Vilnios seniūnija             ,Darželio g.                                                                                                                                           ,5,138,25.33,Savivaldybės būstas,1096-4004-1016:0180                     
Naujosios Vilnios seniūnija             ,Darželio g.                                                                                                                                           ,9,19,25.5,Savivaldybės būstas,1096-3003-0018:0175                     
Naujosios Vilnios seniūnija             ,Draugystės g.                                                                                                                                         ,16,2,32.64,Savivaldybės būstas,1094-0059-3014:0003                     
Naujosios Vilnios seniūnija             ,Draugystės g.                                                                                                                                         ,18,                                        ,39.56,Savivaldybės būstas,1094-0059-4018                          
Naujosios Vilnios seniūnija             ,Draugystės g.                                                                                                                                         ,28,2,36.53,Savivaldybės būstas,1094-0060-1010:0003                     
Naujosios Vilnios seniūnija             ,Draugystės g.                                                                                                                                         ,36,2,40.82,Savivaldybės būstas,1094-0060-3016:0003                     
Naujosios Vilnios seniūnija             ,Gandrų g.                                                                                                                                             ,7,2,36.56,Savivaldybės būstas,4400-1493-0919:5282                     
Naujosios Vilnios seniūnija             ,Gandrų g.                                                                                                                                             ,7,4,37.31,Savivaldybės būstas,4400-1493-0962:5284                     
Naujosios Vilnios seniūnija             ,Gandrų g.                                                                                                                                             ,20,                                        ,39.66,Savivaldybės būstas,1094-0076-2014                          
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,5,65,47.72,Savivaldybės būstas,1096-7002-8018:0107                     
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,7,57,42.16,Savivaldybės būstas,1096-7002-9015:0090                     
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,7,57A                                     ,19.24,Savivaldybės būstas,1096-7002-9015:0091                     
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,17,53,33.03,Savivaldybės būstas,1096-8004-0015:0090                     
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,17,79,44.04,Savivaldybės būstas,1096-8004-0015:0079                     
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,17,90,77.36,Savivaldybės būstas,1096-8004-0015:0091                     
Naujosios Vilnios seniūnija             ,Genių g.                                                                                                                                              ,18,16,49.45,Savivaldybės būstas,1097-9003-6010:0013                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,5,58,43.92,Savivaldybės būstas,4400-1839-6762:4237                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,9,35,35.54,Savivaldybės būstas,1096-4006-1018:0089                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,9,16A                                     ,38.94,Savivaldybės būstas,1096-4006-1018:0086                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,2,34.01,Savivaldybės būstas,4400-4457-3871:7899                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,4,44.2,Savivaldybės būstas,4400-4457-2663:7884                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,6,33.4,Savivaldybės būstas,4400-4457-2685:7886                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,9,33.79,Savivaldybės būstas,4400-4457-2718:7889                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,10,44.87,Savivaldybės būstas,4400-4457-2720:7890                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,13,34.16,Savivaldybės būstas,4400-4457-3760:7893                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,19,34.26,Savivaldybės būstas,4400-4457-2374:7868                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,20,36.76,Savivaldybės būstas,4400-4457-2385:7869                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,21,34.79,Savivaldybės būstas,4400-4457-2430:7870                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,22,44.16,Savivaldybės būstas,4400-4457-2441:7871                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,24,34.09,Savivaldybės būstas,4400-4457-2485:7873                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,25,34.27,Savivaldybės būstas,4400-4457-2496:7874                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,26,34.03,Savivaldybės būstas,4400-4457-2509:7875                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,28,44.2,Savivaldybės būstas,4400-4457-2541:7877                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,29,32.51,Savivaldybės būstas,4400-4457-2563:7878                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,31,33.1,Savivaldybės būstas,4400-4457-2574:7879                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,32,43.79,Savivaldybės būstas,4400-4457-2585:7880                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,33,34.03,Savivaldybės būstas,4400-4457-2620:7881                     
Naujosios Vilnios seniūnija             ,Gerovės g.                                                                                                                                            ,59,35,33.12,Savivaldybės būstas,4400-4457-2163:7855                     
